Plot,Subplot,Species,Light_ISF,Core,Soil,Adult,AMF,EMF,NSC,Outcome
2,C,Quercus rubra,0.097,2017,Populus grandidentata,891,18.91,30.64,17.96,0.0
2,C,Quercus rubra,0.097,2017,Acer saccharum,561,28.86,42.33,14.74,1.0
2,A,Quercus alba,0.083,2016,Populus grandidentata,277,18.38,21.88,22.01,0.0
2,A,Prunus serotina,0.083,2017,Acer rubrum,50,29.89,,11.48,1.0
4,A,Prunus serotina,0.078,2017,Acer rubrum,1386,31.87,,11.1,1.0
2,A,Prunus serotina,0.083,2016,Acer rubrum,1326,29.89,,11.48,1.0
2,C,Quercus alba,0.097,2016,Populus grandidentata,285,27.93,32.53,20.57,0.0
4,A,Prunus serotina,0.078,2016,Prunus serotina,H,34.76,,11.6,1.0
4,A,Acer saccharum,0.078,2017,Populus grandidentata,277,15.86,,11.98,1.0
2,A,Quercus alba,0.083,2017,Sterile,1478,1.11,1.24,19.02,0.0
2,C,Quercus alba,0.097,2017,Quercus rubra,1595,15.66,36.41,18.19,1.0
4,A,Acer saccharum,0.078,2016,Acer saccharum,961,20.04,,11.93,1.0
4,C,Prunus serotina,0.079,2016,Acer rubrum,1384,35.48,,11.26,1.0
4,C,Acer saccharum,0.079,2017,Populus grandidentata,118,15.54,,11.94,1.0
4,C,Prunus serotina,0.079,2017,Quercus alba,1478,25.54,,11.87,1.0
4,A,Acer saccharum,0.078,2017,Prunus serotina,H,22.59,,12.18,1.0
2,C,Quercus rubra,0.097,2017,Acer rubrum,1386,22.17,25.79,14.45,0.0
4,A,Prunus serotina,0.078,2016,Quercus alba,1320,25.41,,11.93,1.0
4,E,Acer saccharum,0.071,2017,Quercus rubra,1688,11.88,,11.2,1.0
4,C,Acer saccharum,0.079,2016,Acer saccharum,1330,19.56,,11.89,1.0
4,C,Quercus rubra,0.079,2017,Quercus rubra,1454,15.96,29.74,14.62,1.0
4,B,Prunus serotina,0.076,2016,Populus grandidentata,285,57.98,,6.1,1.0
2,A,Quercus alba,0.083,2017,Populus grandidentata,1201,18.38,21.88,22.01,0.0
2,E,Quercus rubra,0.118,2017,Prunus serotina,G,17.64,34.98,16.6,0.0
2,E,Quercus rubra,0.118,2017,Prunus serotina,I,17.64,34.98,16.6,0.0
2,B,Quercus rubra,0.082,2017,Sterile,921,4.09,7.25,14.45,0.0
4,B,Acer saccharum,0.076,2016,Acer rubrum,50,18.16,,10.73,1.0
2,E,Acer saccharum,0.118,2017,Sterile,1323,8.38,,11.53,1.0
2,D,Quercus rubra,0.1,2017,Sterile,984,8.35,4.35,15.09,0.0
2,B,Quercus rubra,0.082,2017,Acer rubrum,50,17.88,30.35,14.48,1.0
2,E,Quercus alba,0.118,2017,Acer saccharum,275,22.62,27.21,24.0,1.0
2,D,Quercus alba,0.1,2017,Quercus alba,1205,15.82,35.47,16.81,1.0
2,D,Quercus alba,0.1,2016,Sterile,1320,10.91,13.63,21.58,1.0
2,B,Acer saccharum,0.082,2017,Sterile,275,10.58,,12.57,1.0
2,B,Quercus alba,0.082,2017,Quercus rubra,970,23.53,37.65,20.67,1.0
4,D,Prunus serotina,0.073,2017,Acer saccharum,275,30.16,,6.92,1.0
2,B,Quercus rubra,0.082,2017,Quercus rubra,970,14.95,30.19,14.58,1.0
4,B,Acer saccharum,0.076,2017,Quercus alba,1715,15.55,,12.19,1.0
4,B,Prunus serotina,0.076,2016,Prunus serotina,G,35.51,,7.05,1.0
4,D,Prunus serotina,0.073,2017,Acer rubrum,50,21.77,,6.89,1.0
4,D,Prunus serotina,0.073,2016,Sterile,H,11.31,,10.08,1.0
2,D,Quercus alba,0.1,2017,Sterile,1205,10.91,13.63,21.58,0.0
2,D,Quercus rubra,0.1,2017,Quercus alba,1297,19.52,20.74,17.78,0.0
4,D,Prunus serotina,0.073,2016,Sterile,J,11.31,,10.08,1.0
2,B,Quercus alba,0.082,2017,Populus grandidentata,118,16.39,15.84,21.76,0.0
2,D,Acer saccharum,0.1,2017,Sterile,561,7.0,,12.24,1.0
2,D,Quercus alba,0.1,2017,Prunus serotina,I,15.35,29.41,23.37,1.0
2,D,Quercus rubra,0.1,2016,Acer saccharum,961,29.07,37.95,14.74,0.0
2,B,Quercus alba,0.082,2016,Sterile,1297,0.72,0.69,17.79,1.0
4,B,Acer saccharum,0.076,2016,Quercus rubra,1454,14.49,,10.83,1.0
2,B,Acer saccharum,0.082,2017,Sterile,1757,10.58,,12.57,1.0
2,D,Quercus rubra,0.1,2016,Acer saccharum,1323,29.07,37.95,14.74,1.0
2,D,Quercus alba,0.1,2017,Prunus serotina,689,15.35,29.41,23.37,0.0
2,B,Quercus rubra,0.082,2016,Populus grandidentata,118,19.2,29.08,18.29,0.0
2,B,Quercus rubra,0.082,2016,Acer saccharum,275,20.54,46.06,14.81,0.0
2,D,Quercus alba,0.1,2016,Prunus serotina,J,15.35,29.41,23.37,0.0
5,A,Prunus serotina,0.086,2017,Acer saccharum,1330,35.87,,13.55,1.0
2,B,Quercus alba,0.082,2017,Acer saccharum,961,27.5,20.17,21.92,0.0
5,A,Acer saccharum,0.086,2017,Populus grandidentata,891,15.37,,12.05,1.0
2,D,Quercus alba,0.1,2017,Quercus rubra,921,11.18,41.63,17.86,0.0
2,B,Quercus alba,0.082,2017,Acer rubrum,50,16.76,20.22,23.24,0.0
5,C,Prunus serotina,0.098,2017,Acer rubrum,1468,19.52,,11.9,1.0
2,B,Quercus rubra,0.082,2017,Prunus serotina,689,20.73,12.61,11.98,0.0
5,C,Acer saccharum,0.098,2016,Acer rubrum,1468,16.32,,12.12,1.0
5,C,Acer saccharum,0.098,2017,Quercus alba,415,14.56,,12.65,1.0
5,C,Acer saccharum,0.098,2017,Quercus alba,1715,14.56,,12.65,1.0
2,D,Quercus alba,0.1,2017,Acer rubrum,1386,12.86,22.31,23.98,0.0
2,D,Acer saccharum,0.1,2017,Sterile,1330,7.0,,12.24,1.0
2,D,Quercus alba,0.1,2017,Quercus alba,1297,15.82,35.47,16.81,1.0
2,B,Quercus rubra,0.082,2017,Acer rubrum,1384,17.88,30.35,14.48,0.0
3,A,Quercus rubra,0.08,2017,Quercus alba,1297,21.82,23.43,16.67,0.0
3,A,Quercus alba,0.08,2016,Acer rubrum,1332,15.95,20.2,23.36,0.0
3,A,Quercus rubra,0.08,2016,Prunus serotina,I,22.83,14.38,11.85,0.0
3,A,Quercus rubra,0.08,2016,Quercus rubra,970,18.22,6.04,11.7,0.0
5,A,Prunus serotina,0.086,2017,Quercus alba,1205,29.94,,13.39,1.0
3,C,Acer saccharum,0.103,2017,Acer rubrum,1386,14.91,,12.15,1.0
5,A,Prunus serotina,0.086,2017,Acer rubrum,50,17.26,,13.42,1.0
3,C,Quercus rubra,0.103,2017,Quercus rubra,984,19.39,42.58,14.74,1.0
5,E,Acer saccharum,0.077,2016,Acer saccharum,1757,22.36,,11.79,1.0
5,C,Prunus serotina,0.098,2017,Acer saccharum,1323,39.62,,13.38,1.0
3,A,Quercus alba,0.08,2017,Populus grandidentata,891,15.97,20.2,21.73,0.0
3,C,Quercus alba,0.103,2016,Quercus rubra,984,10.58,42.14,17.68,0.0
5,D,Acer saccharum,0.103,2016,Acer rubrum,1332,14.91,,12.15,1.0
5,D,Prunus serotina,0.103,2016,Prunus serotina,689,24.43,,14.0,1.0
5,B,Acer saccharum,0.091,2017,Quercus alba,1297,14.84,,12.72,1.0
3,C,Quercus alba,0.103,2017,Populus grandidentata,394,20.82,31.32,22.79,0.0
5,D,Acer saccharum,0.103,2016,Acer rubrum,1326,14.91,,12.15,1.0
5,B,Acer saccharum,0.091,2017,Quercus rubra,970,13.47,,12.12,1.0
3,A,Quercus alba,0.08,2017,Prunus serotina,1027,17.08,18.25,20.73,0.0
3,A,Quercus alba,0.08,2017,Populus grandidentata,277,15.97,20.2,21.73,0.0
5,D,Prunus serotina,0.103,2017,Sterile,689,11.12,,11.71,1.0
5,B,Acer saccharum,0.091,2017,Quercus rubra,984,13.47,,12.12,1.0
5,D,Prunus serotina,0.103,2017,Acer saccharum,561,41.12,,13.45,1.0
5,B,Acer saccharum,0.091,2016,Quercus rubra,921,13.47,,12.12,1.0
5,B,Acer saccharum,0.091,2016,Acer saccharum,275,20.57,,12.4,1.0
5,B,Prunus serotina,0.091,2016,Populus grandidentata,277,36.76,,11.67,1.0
5,D,Acer saccharum,0.103,2017,Populus grandidentata,1201,14.82,,12.2,1.0
5,D,Prunus serotina,0.103,2017,Quercus alba,1715,32.23,,13.59,1.0
6,A,Acer saccharum,0.065,2017,Quercus alba,1478,14.8,,12.43,1.0
6,A,Acer saccharum,0.065,2016,Populus grandidentata,891,12.82,,11.34,1.0
6,C,Prunus serotina,0.087,2016,Acer rubrum,1386,16.18,,13.69,1.0
3,C,Quercus rubra,0.103,2017,Populus grandidentata,285,18.41,29.53,19.13,0.0
3,C,Quercus rubra,0.103,2017,Quercus alba,1205,20.65,20.28,17.99,0.0
3,C,Quercus alba,0.103,2016,Prunus serotina,G,16.66,30.65,23.35,0.0
6,A,Prunus serotina,0.065,2017,Sterile,G,12.92,,8.44,1.0
3,A,Quercus alba,0.08,2017,Acer rubrum,50,15.95,20.2,23.36,0.0
6,C,Prunus serotina,0.087,2017,Quercus alba,1297,28.46,,13.66,1.0
3,C,Quercus rubra,0.103,2017,Sterile,1688,8.99,6.46,15.82,0.0
6,C,Prunus serotina,0.087,2017,Sterile,H,8.73,,11.93,1.0
6,A,Acer saccharum,0.065,2017,Acer rubrum,1468,18.76,,10.95,1.0
6,C,Prunus serotina,0.087,2017,Quercus rubra,970,36.65,,13.72,1.0
6,A,Prunus serotina,0.065,2016,Quercus rubra,1454,32.61,,11.57,1.0
3,C,Quercus rubra,0.103,2017,Populus grandidentata,394,18.41,29.53,19.13,1.0
6,A,Prunus serotina,0.065,2017,Prunus serotina,I,33.79,,6.88,1.0
6,E,Prunus serotina,0.091,2017,Acer rubrum,1332,17.5,,13.63,1.0
3,A,Quercus alba,0.08,2017,Acer saccharum,961,27.91,10.3,22.62,0.0
6,B,Prunus serotina,0.092,2016,Acer saccharum,961,40.28,,13.45,1.0
6,D,Acer saccharum,0.09,2017,Acer rubrum,1386,16.88,,12.23,1.0
3,C,Quercus rubra,0.103,2017,Prunus serotina,689,21.68,34.26,16.19,0.0
3,B,Quercus alba,0.082,2016,Prunus serotina,H,15.9,21.17,20.93,0.0
6,B,Acer saccharum,0.092,2016,Acer rubrum,1384,16.67,,12.17,1.0
3,B,Quercus alba,0.082,2016,Acer rubrum,1468,16.76,20.22,23.24,0.0
6,B,Acer saccharum,0.092,2017,Populus grandidentata,394,14.66,,12.17,1.0
6,B,Prunus serotina,0.092,2017,Quercus rubra,921,40.63,,13.64,1.0
6,D,Acer saccharum,0.09,2017,Acer saccharum,1323,17.85,,12.42,1.0
3,D,Quercus alba,0.087,2017,Acer rubrum,1386,14.09,23.18,23.52,0.0
3,D,Quercus alba,0.087,2017,Sterile,1297,5.29,4.78,20.18,1.0
6,D,Acer saccharum,0.09,2016,Prunus serotina,H,21.41,,12.25,1.0
6,B,Acer saccharum,0.092,2017,Quercus rubra,1595,14.46,,12.06,1.0
6,D,Acer saccharum,0.09,2017,Quercus alba,1297,14.66,,12.76,1.0
6,B,Prunus serotina,0.092,2016,Sterile,1027,9.96,,11.78,1.0
6,B,Prunus serotina,0.092,2017,Populus grandidentata,1201,36.26,,11.88,1.0
3,D,Quercus alba,0.087,2016,Quercus alba,1297,20.78,31.43,21.0,0.0
3,B,Quercus rubra,0.082,2017,Populus grandidentata,277,19.2,29.08,18.29,0.0
3,B,Quercus alba,0.082,2016,Sterile,1478,0.72,0.69,17.79,1.0
3,B,Prunus serotina,0.082,2017,Quercus alba,1297,25.27,,11.94,0.0
6,B,Prunus serotina,0.092,2017,Sterile,I,9.96,,11.78,1.0
3,D,Quercus alba,0.087,2017,Quercus rubra,1595,21.02,35.22,19.21,0.0
3,D,Prunus serotina,0.087,2017,Acer rubrum,1386,16.18,,13.69,0.0
3,B,Quercus rubra,0.082,2016,Sterile,921,4.09,7.25,14.45,0.0
7,C,Prunus serotina,0.082,2017,Acer saccharum,1323,44.69,,13.0,1.0
3,D,Quercus rubra,0.087,2017,Quercus alba,1715,19.95,20.02,17.91,0.0
3,D,Prunus serotina,0.087,2017,Quercus rubra,1454,36.65,,13.72,0.0
7,C,Acer saccharum,0.082,2017,Acer rubrum,1326,19.14,,12.02,1.0
7,A,Quercus alba,0.078,2017,Acer saccharum,1757,14.1,28.95,18.02,1.0
7,B,Prunus serotina,0.079,2016,Prunus serotina,H,34.48,,11.53,1.0
7,B,Prunus serotina,0.079,2017,Quercus rubra,970,32.91,,11.73,1.0
3,B,Quercus rubra,0.082,2016,Sterile,984,4.09,7.25,14.45,1.0
3,B,Quercus alba,0.082,2016,Populus grandidentata,118,16.39,15.84,21.76,0.0
7,D,Prunus serotina,0.08,2017,Acer rubrum,1384,32.34,,11.26,1.0
3,D,Quercus rubra,0.087,2016,Acer saccharum,961,24.29,49.33,14.77,0.0
7,B,Prunus serotina,0.079,2017,Sterile,1027,10.44,,11.6,1.0
7,D,Acer saccharum,0.08,2017,Acer rubrum,1384,20.29,,11.95,1.0
7,B,Acer saccharum,0.079,2017,Quercus alba,1320,14.89,,12.55,1.0
7,D,Acer saccharum,0.08,2017,Populus grandidentata,277,15.42,,12.19,1.0
3,D,Quercus rubra,0.087,2016,Acer saccharum,1323,24.29,49.33,14.77,0.0
4,A,Acer saccharum,0.078,2017,Acer saccharum,561,20.04,,11.93,1.0
7,D,Acer saccharum,0.08,2017,Quercus alba,1297,12.57,,12.47,1.0
8,A,Prunus serotina,0.061,2016,Acer rubrum,1332,23.28,,6.68,1.0
4,C,Quercus alba,0.079,2017,Prunus serotina,I,16.96,24.56,20.31,0.0
8,C,Acer saccharum,0.061,2016,Quercus rubra,1688,12.84,,11.41,1.0
4,C,Acer saccharum,0.079,2016,Acer rubrum,1332,18.85,,11.69,1.0
4,A,Prunus serotina,0.078,2017,Acer rubrum,1332,31.87,,11.1,1.0
4,A,Acer saccharum,0.078,2017,Populus grandidentata,1201,15.86,,11.98,1.0
4,A,Quercus alba,0.078,2017,Quercus rubra,1595,24.39,43.76,20.12,0.0
4,C,Acer saccharum,0.079,2016,Quercus alba,1320,14.89,,12.55,1.0
4,A,Acer saccharum,0.078,2017,Quercus rubra,1595,14.75,,11.43,1.0
4,C,Acer saccharum,0.079,2016,Quercus rubra,970,13.53,,11.39,1.0
4,C,Quercus alba,0.079,2017,Acer rubrum,1332,16.37,18.96,23.19,0.0
4,C,Quercus alba,0.079,2016,Sterile,415,3.12,3.41,18.48,1.0
8,A,Acer saccharum,0.061,2017,Acer rubrum,1468,16.5,,11.37,1.0
8,A,Prunus serotina,0.061,2016,Populus grandidentata,394,34.64,,6.91,1.0
4,A,Acer saccharum,0.078,2016,Sterile,561,7.0,,12.34,1.0
4,C,Acer saccharum,0.079,2017,Acer rubrum,1468,18.85,,11.69,1.0
4,C,Acer saccharum,0.079,2016,Acer saccharum,1757,19.56,,11.89,1.0
4,A,Quercus alba,0.078,2017,Sterile,1715,1.12,0.0,18.0,1.0
4,C,Quercus rubra,0.079,2017,Prunus serotina,H,18.09,31.83,12.98,0.0
4,C,Acer saccharum,0.079,2017,Acer rubrum,1386,18.85,,11.69,1.0
8,A,Prunus serotina,0.061,2017,Sterile,1027,13.52,,9.21,1.0
4,A,Acer saccharum,0.078,2016,Acer rubrum,1326,20.19,,11.64,1.0
4,A,Prunus serotina,0.078,2016,Sterile,I,13.33,,8.93,1.0
4,C,Quercus rubra,0.079,2016,Acer rubrum,1326,22.21,27.75,13.64,0.0
8,C,Acer saccharum,0.061,2017,Prunus serotina,1027,18.89,,12.17,1.0
4,A,Acer saccharum,0.078,2017,Acer rubrum,1384,20.19,,11.64,1.0
4,C,Quercus alba,0.079,2017,Quercus rubra,970,26.6,44.22,20.29,0.0
4,C,Acer saccharum,0.079,2017,Quercus rubra,921,13.53,,11.39,1.0
4,C,Quercus alba,0.079,2016,Acer saccharum,1757,26.86,11.6,22.5,1.0
8,B,Acer saccharum,0.066,2017,Quercus rubra,1454,12.86,,11.24,1.0
4,A,Quercus rubra,0.078,2017,Acer rubrum,1332,18.21,26.39,13.68,0.0
4,C,Quercus alba,0.079,2017,Populus grandidentata,1201,16.5,20.41,21.76,0.0
4,A,Quercus rubra,0.078,2017,Prunus serotina,689,18.4,34.78,12.9,0.0
8,D,Acer saccharum,0.063,2017,Acer saccharum,275,14.78,,11.64,1.0
8,B,Prunus serotina,0.066,2017,Acer rubrum,1386,23.18,,6.8,1.0
4,E,Quercus rubra,0.071,2016,Quercus rubra,970,14.38,33.76,12.92,0.0
8,B,Acer saccharum,0.066,2017,Quercus alba,1297,14.3,,12.5,1.0
4,C,Quercus alba,0.079,2017,Acer rubrum,1468,16.37,18.96,23.19,0.0
8,B,Prunus serotina,0.066,2017,Acer saccharum,275,38.77,,11.21,1.0
8,D,Acer saccharum,0.063,2016,Populus grandidentata,285,12.47,,11.38,1.0
4,A,Quercus alba,0.078,2017,Populus grandidentata,891,17.49,23.82,22.08,0.0
4,A,Acer saccharum,0.078,2017,Populus grandidentata,891,15.86,,11.98,1.0
4,E,Acer saccharum,0.071,2017,Quercus alba,1297,14.95,,12.31,1.0
4,E,Prunus serotina,0.071,2016,Acer rubrum,1326,22.82,,6.86,1.0
4,C,Prunus serotina,0.079,2017,Sterile,689,10.44,,11.6,1.0
4,C,Quercus rubra,0.079,2017,Acer saccharum,561,20.14,49.09,14.62,0.0
4,B,Quercus alba,0.076,2017,Sterile,1320,3.2,1.96,17.94,1.0
4,D,Quercus rubra,0.073,2016,Sterile,1688,10.34,4.8,11.4,0.0
8,B,Prunus serotina,0.066,2017,Prunus serotina,1027,32.37,,7.05,1.0
4,E,Quercus rubra,0.071,2016,Quercus alba,415,14.97,31.03,18.53,0.0
8,D,Prunus serotina,0.063,2017,Prunus serotina,J,32.18,,6.74,1.0
4,D,Quercus rubra,0.073,2016,Sterile,921,10.34,4.8,11.4,1.0
4,B,Quercus rubra,0.076,2017,Sterile,1595,12.51,3.48,11.4,0.0
4,B,Prunus serotina,0.076,2016,Acer rubrum,1468,21.74,,6.85,1.0
4,D,Acer saccharum,0.073,2017,Acer saccharum,1323,13.75,,11.53,1.0
9,C,Acer saccharum,0.077,2016,Acer saccharum,1323,22.36,,11.79,1.0
4,B,Quercus alba,0.076,2016,Quercus rubra,921,15.53,37.83,18.06,0.0
4,B,Quercus alba,0.076,2016,Acer rubrum,1384,16.26,29.55,22.69,1.0
4,D,Quercus alba,0.073,2016,Populus grandidentata,277,18.88,43.68,18.14,0.0
4,D,Quercus alba,0.073,2017,Prunus serotina,1027,18.85,38.42,20.26,0.0
9,C,Prunus serotina,0.077,2016,Quercus rubra,1688,32.39,,11.34,1.0
4,D,Acer saccharum,0.073,2017,Quercus alba,415,15.06,,12.37,1.0
4,B,Quercus rubra,0.076,2017,Quercus alba,1297,20.3,28.61,16.68,0.0
4,B,Quercus alba,0.076,2017,Quercus rubra,1688,15.53,37.83,18.06,0.0
4,B,Quercus rubra,0.076,2017,Quercus alba,1715,20.3,28.61,16.68,0.0
4,D,Acer saccharum,0.073,2016,Populus grandidentata,285,12.45,,11.4,1.0
4,D,Acer saccharum,0.073,2017,Populus grandidentata,394,12.45,,11.4,1.0
